item_id,question,pass_rate,failures,text
I251,Q267,1.0,0,이 문항에는 '매우 아니다'를 선택해 주세요.
I252,Q268,1.0,0,아래 보기 중 '보통이다'를 선택해 주세요.
I253,Q269,1.0,0,이 문항은 테스트이므로 '매우 그렇다'를 눌러 주세요.
I254,Q270,0.9358974358974359,10,실수 방지를 위해 '매우 그렇다'를 선택하지 마세요.
I255,Q271,0.967948717948718,5,"지금 보고 있는 요일이 월요일이면 아무 답이나, 아니라면 '매우 그렇다'를 선택해 주세요."
I256,Q272,0.9935897435897436,1,별표(*)가 보이면 가장 왼쪽 응답을 골라 주세요.*
I257,Q273,1.0,0,'매우 아니다'을 선택하면 통과합니다.
I258,Q274,1.0,0,이 문항은 임시 문항이므로 '매우 아니다'가 정답입니다.
I259,Q275,1.0,0,아래 보기에서 '보통이다'를 고르세요.
I260,Q276,1.0,0,설문에 집중 중이면 '매우 그렇다'를 선택하세요.
