question_id,job_group,area,element,culture_item_id,culture_domain,similarity
Q01,경영지원,K-SJT,자료 기준 확인,N008,원칙중시,0.07618579879168155
Q01,경영지원,K-SJT,자료 기준 확인,I201,반응왜곡(사회적바람직성),0.07377542801511888
Q01,경영지원,K-SJT,자료 기준 확인,I003,원칙중시,0.06880911209142788
Q02,경영지원,K-SJT,민감정보 처리 판단,I286,의사소통,0.2211362234142419
Q02,경영지원,K-SJT,민감정보 처리 판단,I162,조직시민성(OCB),0.14310053452480737
Q02,경영지원,K-SJT,민감정보 처리 판단,N028,원칙중시,0.11276750826839435
Q03,경영지원,K-SJT,제도 변경 학습,N038,원칙중시,0.09437608599031336
Q03,경영지원,K-SJT,제도 변경 학습,I275,혁신성,0.08752352878560107
Q03,경영지원,K-SJT,제도 변경 학습,N026,고객중심,0.08246224406854911
Q04,경영지원,S,정확한 자료 처리,I022_R,원칙중시,0.10255640824675005
Q04,경영지원,S,정확한 자료 처리,I197,정직성/무결성,0.09697419894560214
Q04,경영지원,S,정확한 자료 처리,N014,의사소통,0.0953645772728482
Q05,경영지원,S,의견 조율,N017,도전정신,0.10066163320740872
Q05,경영지원,S,의견 조율,I070,고객중심,0.09930114786995872
Q05,경영지원,S,의견 조율,I078,고객중심,0.09930114786995872
Q06,경영지원,S,문서·일정 관리,I196,정직성/무결성,0.15448614248543724
Q06,경영지원,S,문서·일정 관리,I275,혁신성,0.11540389279062824
Q06,경영지원,S,문서·일정 관리,I022_R,원칙중시,0.11299521470721416
Q07,경영지원,A,공정성,I047,혁신성,0.23182477289908135
Q07,경영지원,A,공정성,I039,혁신성,0.23182477289908135
Q07,경영지원,A,공정성,I055_R,혁신성,0.16031892776542636
Q08,경영지원,A,기밀 준수,I195,정직성/무결성,0.16363034595639822
Q08,경영지원,A,기밀 준수,I013,원칙중시,0.1586813798002254
Q08,경영지원,A,기밀 준수,I005,원칙중시,0.1586813798002254
Q09,경영지원,A,지원 태도,I185,정직성/무결성,0.09742302720750812
Q09,경영지원,A,지원 태도,N038,원칙중시,0.08074937484764005
Q09,경영지원,A,지원 태도,I020_R,원칙중시,0.07603272248893711
Q10,경영지원,A,반복업무 책임감,I101,의사소통,0.10785156984696856
Q10,경영지원,A,반복업무 책임감,I141,도전정신,0.10076824580853609
Q10,경영지원,A,반복업무 책임감,I133,도전정신,0.10076824580853609
Q11,전략/기획,K-SJT,정보 신뢰도 판단,I101,의사소통,0.28425404869931314
Q11,전략/기획,K-SJT,정보 신뢰도 판단,I117,의사소통,0.24760636344348544
Q11,전략/기획,K-SJT,정보 신뢰도 판단,I109,의사소통,0.24760636344348544
Q12,전략/기획,K-SJT,지표 해석,N042,도전정신,0.10879693219036776
Q12,전략/기획,K-SJT,지표 해석,N041,고객중심,0.10806358802967662
Q12,전략/기획,K-SJT,지표 해석,N052_R,도전정신,0.091704180695437
