question_id,job_group,area,element,text
Q01,경영지원,K-SJT,자료 기준 확인,처음 보는 정산 자료를 맡았는데 항목의 의미가 불분명하다. 나는 임의로 해석하기보다 관련 규정과 이전 사례를 먼저 확인한 뒤 처리한다.
Q02,경영지원,K-SJT,민감정보 처리 판단,동료가 업무 편의를 위해 다른 지원자의 개인정보를 요청한다. 나는 전달 목적과 권한을 확인하고 승인된 범위에서만 제공한다.
Q03,경영지원,K-SJT,제도 변경 학습,새 인사·회계 제도가 시행되었는데 요약 안내만으로 적용이 모호하다. 나는 원문 기준과 변경 전후 차이를 정리해 확인한다.
Q04,경영지원,S,정확한 자료 처리,여러 자료를 정리할 때 항목과 수치를 빠뜨리지 않았는지 반복해서 확인하는 편이다.
Q05,경영지원,S,의견 조율,서로 다른 의견이 나오면 각 입장을 듣고 공통으로 수용할 수 있는 기준을 찾으려 한다.
Q06,경영지원,S,문서·일정 관리,해야 할 일이 많을 때 우선순위와 마감일을 정리해 순서대로 처리하는 편이다.
Q07,경영지원,A,공정성,개인적 친분보다 동일한 기준을 적용하는 것이 중요하다고 생각한다.
Q08,경영지원,A,기밀 준수,다른 사람의 민감한 정보는 호기심이나 친분과 관계없이 보호해야 한다고 생각한다.
Q09,경영지원,A,지원 태도,다른 구성원이 원활히 일하도록 돕는 역할에서도 보람을 느낄 수 있다.
Q10,경영지원,A,반복업무 책임감,반복적이고 세밀한 업무라도 정확성을 유지하며 끝까지 수행할 수 있다.
Q11,전략/기획,K-SJT,정보 신뢰도 판단,"시장 전망 자료 두 개가 서로 다른 결론을 제시한다. 나는 결론을 고르기 전에 조사 시점, 표본과 가정을 비교한다."
Q12,전략/기획,K-SJT,지표 해석,경영지표가 목표에 미달했지만 일부 세부 지표는 개선되었다. 나는 단일 수치로 판단하지 않고 지표 간 관계와 원인을 확인한다.
Q13,전략/기획,K-SJT,불확실 정보 보완,새로운 사업 아이디어의 정보가 부족하다. 나는 추측으로 채우기보다 필요한 정보와 검증 가능한 가설을 먼저 구분한다.
Q14,전략/기획,S,정보 구조화,복잡한 정보를 접하면 핵심 쟁점과 원인을 구분해 정리하는 편이다.
Q15,전략/기획,S,가설적 사고,정답이 명확하지 않은 문제에서도 가능한 시나리오를 여러 가지 생각해 본다.
Q16,전략/기획,S,논리적 전달,의견을 제시할 때 주장과 근거가 연결되도록 설명하려고 한다.
Q17,전략/기획,A,장기 관점,당장의 결과뿐 아니라 장기적으로 발생할 영향까지 고려하는 편이다.
