question,item_id,domain,variable,scoring_key_provisional,mean_raw,mean_scored,sd_scored,pct_raw_1,pct_raw_5,item_rest_r,exact_duplicate,text,review_flags
Q1,I001,원칙중시,Culture-Fit,direct,4.262820512820513,4.262820512820513,0.4834310103521059,0.0,0.28205128205128205,0.7048638210277786,True,나는 규정이나 절차가 불편해도 지키는 편이다.,LOW_VARIANCE;EXACT_DUPLICATE
Q3,I002,원칙중시,Culture-Fit,direct,4.205128205128205,4.205128205128205,0.6192393744039872,0.0,0.2948717948717949,0.527435350304223,True,작은 이익을 위해 원칙을 훼손하지 않는다.,EXACT_DUPLICATE
Q5,I003,원칙중시,Culture-Fit,direct,4.288461538461538,4.288461538461538,0.5329118475140553,0.0,0.32051282051282054,0.464385830611396,True,정보를 숨기기보다 관련자와 공유하려 한다.,EXACT_DUPLICATE
Q7,I004,원칙중시,Culture-Fit,direct,4.128205128205129,4.128205128205129,0.659598594630134,0.00641025641025641,0.2564102564102564,0.5546149920089234,True,모든 사람을 같은 기준으로 대하려 노력한다.,EXACT_DUPLICATE
Q9,I005,원칙중시,Culture-Fit,direct,4.051282051282051,4.051282051282051,0.6095463336261283,0.0,0.19230769230769232,0.5906483670689455,True,상황이 급해도 규정을 반드시 지켜야 한다고 생각한다.,EXACT_DUPLICATE
Q11,I006,원칙중시,Culture-Fit,direct,4.301282051282051,4.301282051282051,0.48752001507129933,0.0,0.3141025641025641,0.5939817838655451,True,성과를 내기 위해 사실을 과장하지 않고 정직하게 전달한다.,LOW_VARIANCE;EXACT_DUPLICATE
Q13,I007,원칙중시,Culture-Fit,direct,4.237179487179487,4.237179487179487,0.5460967595603512,0.0,0.28846153846153844,0.676098378843734,True,나에게 불리하더라도 기준은 항상 일관되어야 한다.,EXACT_DUPLICATE
Q15,I008,원칙중시,Culture-Fit,direct,4.371794871794871,4.371794871794871,0.5704321928881725,0.0,0.41025641025641024,0.3580466988443523,True,문제가 생기면 지체 없이 즉시 보고한다.,EXACT_DUPLICATE
Q17,I009,원칙중시,Culture-Fit,direct,4.211538461538462,4.211538461538462,0.4952629198733627,0.0,0.25,0.6869271529455176,True,나는 규정이나 절차가 불편해도 지키는 편이다.,LOW_VARIANCE;EXACT_DUPLICATE
Q19,I010,원칙중시,Culture-Fit,direct,4.205128205128205,4.205128205128205,0.517038074569153,0.0,0.2564102564102564,0.6148505500786261,True,작은 이익을 위해 원칙을 훼손하지 않는다.,EXACT_DUPLICATE
Q21,I011,원칙중시,Culture-Fit,direct,4.314102564102564,4.314102564102564,0.4925835403781245,0.0,0.3269230769230769,0.5137821487213148,True,정보를 숨기기보다 관련자와 공유하려 한다.,LOW_VARIANCE;EXACT_DUPLICATE
Q23,I012,원칙중시,Culture-Fit,direct,4.089743589743589,4.089743589743589,0.6462975932114412,0.00641025641025641,0.21794871794871795,0.5658210611404934,True,모든 사람을 같은 기준으로 대하려 노력한다.,EXACT_DUPLICATE
Q25,I013,원칙중시,Culture-Fit,direct,4.121794871794871,4.121794871794871,0.5830171658840477,0.0,0.23076923076923078,0.613533163558534,True,상황이 급해도 규정을 반드시 지켜야 한다고 생각한다.,EXACT_DUPLICATE
Q27,I014,원칙중시,Culture-Fit,direct,4.2756410256410255,4.2756410256410255,0.489551709993593,0.0,0.2948717948717949,0.6672815833001914,True,성과를 내기 위해 사실을 과장하지 않고 정직하게 전달한다.,LOW_VARIANCE;EXACT_DUPLICATE
Q29,I015,원칙중시,Culture-Fit,direct,4.198717948717949,4.198717948717949,0.636724195063287,0.00641025641025641,0.28846153846153844,0.7126756233472371,True,나에게 불리하더라도 기준은 항상 일관되어야 한다.,EXACT_DUPLICATE
Q31,I016,원칙중시,Culture-Fit,direct,4.365384615384615,4.365384615384615,0.5689439959007073,0.0,0.40384615384615385,0.3792896129115621,True,문제가 생기면 지체 없이 즉시 보고한다.,EXACT_DUPLICATE
Q33,I017_R,원칙중시,Culture-Fit,reverse,1.3846153846153846,4.615384615384615,0.5011153812348745,0.6217948717948718,0.0,0.5367606131763062,False,규정이나 절차가 불편하면 지키지 않고 무시한다.,RAW_FLOOR
Q35,I018_R,원칙중시,Culture-Fit,reverse,1.5128205128205128,4.487179487179487,0.5621064012143848,0.5192307692307693,0.0,0.6124198519070718,False,작은 이익을 위해서도 기꺼이 원칙을 훼손한다.,
Q37,I019_R,원칙중시,Culture-Fit,reverse,1.4615384615384615,4.538461538461538,0.5374325510222311,0.5576923076923077,0.0,0.45471766349628456,False,정보를 숨겨 나만 유리하게 이용하려 한다.,
